Condition,Model,RAG_type,Scale,Item_Text,disc_score,loading_CI,loading_PE,cosine_sim
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,"I am dedicated to the cause I have chosen, especially its main aspects.",0.1028,0.712,-0.013,0.4044
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I resist the urge to frequently switch my primary focus.,0.3089,0.63,0.142,0.6286
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I am not easily sidetracked from my main objective.,0.1811,0.605,0.202,0.5092
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,My fundamental motivations guide my actions consistently.,0.0503,0.766,-0.07,0.3789
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I tend not to change my main interest for a different one.,0.2691,0.669,0.022,0.4805
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,"I remain loyal to my chosen path, even if it takes time.",0.0445,0.572,0.12,0.415
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I find myself consistently returning to the same types of interests.,0.1538,0.542,0.087,0.4288
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,My most cherished ambitions are the ones I pursue first.,0.095,0.618,0.002,0.4046
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I am determined to maintain my focus on my main professional goals.,0.1692,0.781,-0.007,0.5747
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,My primary drive rarely gets tangled with other passing fascinations.,0.2074,0.608,0.012,0.4313
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,"I finish tasks, even difficult ones, well.",0.2351,-0.014,0.784,0.5561
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I do not quit my tasks until they are done.,0.0526,0.089,0.646,0.4092
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,"When something is begun, I complete it, no matter what.",0.1212,0.178,0.574,0.4531
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,"I try my best on every task, even if it fails.",0.1298,0.135,0.579,0.4276
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I have the determination to push through setbacks.,0.2276,0.279,0.429,0.5912
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I do not easily give up on the things I start.,0.0688,0.118,0.691,0.4478
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,"I can keep going, even when things are tough.",0.208,0.125,0.511,0.4923
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I dislike unfinished tasks.,0.0768,-0.073,0.712,0.3617
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I let difficulties distract me from finishing what I began.,0.1213,0.038,0.693,0.4829
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,"When a task requires effort, I see it through.",0.1508,0.12,0.683,0.5488
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I persist in my tasks until they are finished.,0.0702,0.287,0.561,0.5414
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I find it hard to complete a started job.,0.2068,-0.127,0.834,0.5038
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I often drop things that I am doing.,-0.0249,0.113,0.472,0.2598
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I can be stubborn about finishing my tasks.,0.0603,0.095,0.707,0.4629
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,"When I start something, I try to see it to the end.",0.0799,0.209,0.552,0.4521
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I complete what I set out to do.,0.1058,0.265,0.456,0.4454
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I stop myself from quitting tasks mid-way.,0.0182,0.083,0.69,0.4921
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I have difficulty with persistence.,0.0154,0.257,0.485,0.4611
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I easily get discouraged and stop trying.,0.0614,-0.014,0.677,0.3567
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I abandon my efforts when faced with difficulty.,0.1009,0.007,0.721,0.4256
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I find it very easy to quit an uninteresting task.,-0.0478,-0.033,0.69,0.3229
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,"When tasks are challenging, I quickly stop trying.",0.0818,-0.114,0.87,0.4601
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,"I dislike difficult tasks, so I avoid them often.",0.0982,-0.154,0.838,0.3516
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,"If something does not come easily, I give up.",0.1393,-0.092,0.741,0.3483
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I stop when the going gets rough.,0.0972,0.088,0.532,0.4024
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I am easily dissuaded from completing my tasks.,0.0353,-0.042,0.828,0.3838
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,"I am prone to start many things, but complete few.",0.0276,0.149,0.586,0.3883
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I frequently change my mind about tasks I undertake.,-0.0587,0.193,0.549,0.3263
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,"I can persevere, even in challenging projects.",0.1573,0.182,0.591,0.5959
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I have trouble seeing things through to the end.,0.0752,0.104,0.578,0.4036
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I find it easy to get started but hard to finish.,0.1536,-0.042,0.729,0.4617
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I give up easily on demanding tasks.,0.0498,-0.114,0.845,0.3683
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I can power through difficult tasks.,0.2329,0.047,0.693,0.5559
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I am able to maintain effort until the job is finished.,0.1235,0.134,0.623,0.5665
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I do not feel strong enough to complete difficult tasks.,0.1624,-0.043,0.712,0.4112
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I avoid starting tasks I know will be difficult.,0.1015,-0.096,0.811,0.4448
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I can keep going even after several failures.,0.1889,0.136,0.483,0.4784
deepseek × No-RAG,deepseek,No-RAG,Perseverance of Effort,I tend to lose focus on tasks that are too difficult.,-0.0533,0.068,0.713,0.3951
deepseek × RAG,deepseek,RAG,Consistency of Interest,I remain fully committed to my original goals.,0.0775,0.7,0.022,0.4484
deepseek × RAG,deepseek,RAG,Consistency of Interest,I can work effectively on the same task for long periods.,-0.025,0.494,-0.174,0.3758
deepseek × RAG,deepseek,RAG,Consistency of Interest,"When working on a project, I maintain a clear direction.",0.1177,0.648,-0.054,0.5349
deepseek × RAG,deepseek,RAG,Consistency of Interest,I resist the urge to suddenly start a completely new endeavor.,0.1679,0.428,-0.269,0.5245
deepseek × RAG,deepseek,RAG,Consistency of Interest,I focus my efforts intensely on the things I choose.,0.2174,0.782,0.066,0.5601
deepseek × RAG,deepseek,RAG,Consistency of Interest,I find it easy to stick with a plan over months.,0.0001,0.361,-0.262,0.3433
deepseek × RAG,deepseek,RAG,Consistency of Interest,My focus doesn't get scattered by new ideas.,0.3029,0.718,0.069,0.5577
deepseek × RAG,deepseek,RAG,Consistency of Interest,I can maintain interest in a topic for sustained periods.,0.0794,0.696,-0.007,0.5064
deepseek × RAG,deepseek,RAG,Consistency of Interest,I have the ability to delay exploring new options for my main goal.,0.1142,0.658,-0.037,0.4822
deepseek × RAG,deepseek,RAG,Consistency of Interest,I have strong staying power with the things I start.,-0.0784,0.532,-0.265,0.4487
deepseek × RAG,deepseek,RAG,Consistency of Interest,My attention stays locked on what I'm working towards.,0.1808,0.762,0.012,0.5783
deepseek × RAG,deepseek,RAG,Consistency of Interest,I am willing to see an idea through to completion.,-0.1066,0.371,-0.237,0.3032
deepseek × RAG,deepseek,RAG,Consistency of Interest,I can ignore distractions to maintain progress.,0.0617,0.607,-0.202,0.5624
deepseek × RAG,deepseek,RAG,Consistency of Interest,I don't frequently change my primary focus.,0.2607,0.73,0.068,0.4928
deepseek × RAG,deepseek,RAG,Consistency of Interest,My dedication remains strong even in difficult times.,-0.0827,0.432,-0.279,0.3798
deepseek × RAG,deepseek,RAG,Consistency of Interest,I resist shifting my energy to new projects.,0.2172,0.56,-0.124,0.568
deepseek × RAG,deepseek,RAG,Consistency of Interest,I have a clear long-term objective I'm focused on.,0.1901,0.803,0.14,0.5075
deepseek × RAG,deepseek,RAG,Consistency of Interest,I don't let my interest fade quickly.,0.159,0.641,-0.085,0.4638
deepseek × RAG,deepseek,RAG,Consistency of Interest,I avoid getting sidetracked by less important matters.,0.2055,0.623,-0.074,0.5103
deepseek × RAG,deepseek,RAG,Consistency of Interest,I have the capacity to follow through without shifting.,0.037,0.587,-0.119,0.4486
deepseek × RAG,deepseek,RAG,Consistency of Interest,My commitment is unwavering to my key ambitions.,0.1131,0.661,-0.023,0.477
deepseek × RAG,deepseek,RAG,Consistency of Interest,I minimize time spent on distractions.,0.18,0.545,-0.011,0.4537
deepseek × RAG,deepseek,RAG,Consistency of Interest,I persistently pursue the things I value most.,0.0544,0.631,-0.122,0.5006
deepseek × RAG,deepseek,RAG,Consistency of Interest,I don't easily become interested in multiple new things.,0.2239,0.402,-0.21,0.4014
deepseek × RAG,deepseek,RAG,Consistency of Interest,I keep my focus intensely concentrated on my main goal.,0.2722,0.877,0.123,0.6474
deepseek × RAG,deepseek,RAG,Consistency of Interest,I resist being drawn away by emerging interests.,0.2458,0.682,-0.017,0.5787
deepseek × RAG,deepseek,RAG,Consistency of Interest,I don't frequently shift between different priorities.,0.2003,0.605,-0.045,0.4583
deepseek × RAG,deepseek,RAG,Consistency of Interest,I stay dedicated to achieving my chosen objectives.,0.0738,0.737,-0.017,0.5072
deepseek × RAG,deepseek,RAG,Consistency of Interest,My interests are stable and enduring.,0.0809,0.744,0.132,0.4259
deepseek × RAG,deepseek,RAG,Consistency of Interest,I avoid getting bored quickly with long-term tasks.,0.0767,0.505,-0.273,0.4752
deepseek × RAG,deepseek,RAG,Consistency of Interest,I resist the temptation to follow fleeting interests.,0.259,0.659,-0.07,0.5868
deepseek × RAG,deepseek,RAG,Consistency of Interest,I maintain consistent engagement with my main project.,0.109,0.824,0.102,0.5363
deepseek × RAG,deepseek,RAG,Consistency of Interest,I don't allow external stimuli to disrupt my focus.,0.2046,0.606,0.004,0.4838
deepseek × RAG,deepseek,RAG,Consistency of Interest,I am able to delay pursuing new ideas to stick with the main one.,0.185,0.754,0.015,0.6105
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I start the tasks I plan.,0.1143,0.315,-0.3,0.3695
deepseek × RAG,deepseek,RAG,Perseverance of Effort,"After setbacks, I push harder.",0.2607,0.089,-0.621,0.5799
deepseek × RAG,deepseek,RAG,Perseverance of Effort,Obstacles don't prevent me from finishing.,0.1668,0.144,-0.578,0.4902
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I don't quit when things get tough.,0.1397,0.009,-0.69,0.4012
deepseek × RAG,deepseek,RAG,Perseverance of Effort,It's hard for me to persist with difficult tasks.,0.1461,0.115,-0.726,0.5533
deepseek × RAG,deepseek,RAG,Perseverance of Effort,Setbacks sometimes make me stop trying.,0.1769,-0.123,-0.785,0.4754
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I can continue working hard even when it's hard.,0.2307,0.241,-0.484,0.5373
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I give up easily on challenging tasks.,0.0754,-0.04,-0.806,0.3871
deepseek × RAG,deepseek,RAG,Perseverance of Effort,"When tasks are difficult, I tend to quit.",0.143,-0.105,-0.866,0.4647
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I don't mind working hard for a long time.,0.1051,0.299,-0.356,0.3895
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I lose enthusiasm when faced with difficulties.,0.0859,-0.03,-0.752,0.3946
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I find it easy to keep going despite failures.,0.2082,0.137,-0.666,0.6076
deepseek × RAG,deepseek,RAG,Perseverance of Effort,It takes a lot to make me give up on something.,0.0706,0.1,-0.63,0.4307
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I don't let small setbacks derail my efforts.,0.1081,0.208,-0.558,0.5062
deepseek × RAG,deepseek,RAG,Perseverance of Effort,"I work until a task is done, regardless of the struggle.",0.1594,0.282,-0.475,0.5256
deepseek × RAG,deepseek,RAG,Perseverance of Effort,Failure doesn't stop me from trying again.,0.1708,-0.014,-0.665,0.4402
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I get discouraged quickly if things don't go smoothly.,0.1137,-0.033,-0.727,0.3644
deepseek × RAG,deepseek,RAG,Perseverance of Effort,It's easy for me to stop when something is too difficult.,0.0201,0.003,-0.686,0.3224
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I can't seem to finish what I begin.,0.0868,0.171,-0.558,0.4463
deepseek × RAG,deepseek,RAG,Perseverance of Effort,Difficult tasks exhaust my determination.,0.1444,0.022,-0.745,0.5035
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I often stop when the going gets rough.,0.1102,0.052,-0.628,0.4302
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I persevere through challenges that others might avoid.,0.1734,0.258,-0.544,0.5728
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I lose steam when facing repeated difficulties.,0.1291,-0.094,-0.796,0.4358
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I tend to abandon tasks that prove too challenging.,0.0273,0.087,-0.688,0.4116
deepseek × RAG,deepseek,RAG,Perseverance of Effort,My work ethic enables me to overcome obstacles.,0.2363,0.211,-0.515,0.5589
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I don't mind the effort when the task requires it.,0.0574,0.176,-0.453,0.3148
deepseek × RAG,deepseek,RAG,Perseverance of Effort,Setbacks are a common reason I stop trying.,0.1753,-0.134,-0.793,0.4636
deepseek × RAG,deepseek,RAG,Perseverance of Effort,It's frustrating when I can't complete what I start.,0.1149,0.048,-0.678,0.4659
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I'm able to keep working hard for my goals.,0.1166,0.509,-0.246,0.5353
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I sometimes start tasks but never finish them.,0.0774,0.221,-0.444,0.4164
deepseek × RAG,deepseek,RAG,Perseverance of Effort,It's easy for me to get discouraged and quit.,0.089,-0.157,-0.824,0.3249
deepseek × RAG,deepseek,RAG,Perseverance of Effort,I'm not easily worn down by persistent challenges.,0.111,0.182,-0.596,0.4749
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,I think carefully before committing to a new idea.,0.1176,0.425,0.224,0.4058
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,My interests have a clear direction over time.,0.1959,0.833,-0.096,0.4584
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,I value seeing a task through until it's done.,-0.1171,0.216,0.472,0.3641
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,Novel ideas that arise aren't usually my first concern.,0.1042,0.384,0.158,0.2928
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,I have a consistent vision for my professional life.,0.0688,0.574,0.065,0.3548
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,"When a new passion emerges, I evaluate its fit.",0.1471,0.637,0.012,0.3827
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,Long-term dedication is more satisfying than constant change.,0.0485,0.546,0.091,0.4857
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,I find it challenging to start something new instead of finishing old.,-0.0589,0.125,0.619,0.3899
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,Shifting interests often leave me feeling dissatisfied.,0.147,0.543,0.142,0.4056
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,I tend to evaluate if a new interest aligns with my core aims.,0.1994,0.781,-0.07,0.4344
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,Discipline is required to maintain focus on a single objective.,0.2931,0.394,0.167,0.6582
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,Old ideas from years ago still resonate with me.,0.0486,0.489,0.055,0.2899
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,My core interests rarely change once established.,0.2248,0.859,-0.138,0.4896
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,I stay engaged with a long-term pursuit even if it's not exciting.,0.0906,0.612,0.166,0.4998
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,Frequent switching between interests disrupts my productivity.,0.1754,0.471,0.197,0.4702
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,"My drive is often centered on a single, long-term objective.",0.1892,0.617,0.153,0.5458
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,I find it difficult to get distracted by immediate new interests.,0.2287,0.511,0.26,0.5375
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,I prefer dedicating my energy to one main endeavor.,0.2392,0.562,0.141,0.5707
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,Even small changes in interest can be disruptive.,0.1111,0.334,0.141,0.3372
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,I don't let momentary excitement pull me from my focus.,0.2352,0.477,0.213,0.5506
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,I tend to hold onto my core interests regardless of circumstances.,0.165,0.762,0.035,0.521
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,My dedication doesn't waver with shifting trends.,0.1222,0.592,0.077,0.422
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,I am loyal to the themes I've always been passionate about.,0.1342,0.702,-0.088,0.3575
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,Committing to a long-term aim brings me greater fulfillment.,0.0532,0.567,0.16,0.4597
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,I feel the need to finish what I began before starting something new.,0.0203,0.281,0.434,0.4223
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,My interests are guided by a consistent principle or value.,0.1321,0.832,-0.137,0.4259
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,Loyalty to a cause is a trait I value highly.,0.0716,0.544,-0.017,0.308
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,I have a clear sense of direction regarding my interests.,0.1911,0.738,-0.069,0.4131
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,I evaluate how a new interest compares to my existing ones.,0.1824,0.678,-0.071,0.3592
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,It's important for me to follow through on my commitments.,-0.025,0.387,0.298,0.325
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,Discipline helps me maintain concentration on a sustained objective.,0.1026,0.462,0.211,0.5393
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,I find myself easily drawn to new possibilities.,0.0307,0.395,0.29,0.3099
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Consistency of Interest,Long-term focus often requires discipline.,0.1161,0.444,0.211,0.5391
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I pressed onward through the frustrating part.,0.1714,-0.057,0.556,0.399
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I never give up once I've started something.,0.0614,0.134,0.589,0.4365
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,Difficulties often motivate me to work even harder.,0.1925,0.066,0.658,0.5169
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,Obstacles tend to derail my efforts.,0.0496,0.05,0.698,0.4058
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I can lose momentum if I face too many setbacks.,0.1199,-0.022,0.74,0.4857
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I often complete tasks that others might abandon.,0.1257,0.141,0.629,0.5074
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,"When faced with a challenge, I just push through.",0.1599,-0.026,0.715,0.4777
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,My focus gets derailed by unexpected problems.,-0.0704,0.265,0.436,0.3558
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,"I usually see things through to the end, even if it's tough.",0.1801,0.101,0.65,0.5166
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,Setbacks make me wonder if I can actually achieve my goals.,0.1789,-0.009,0.67,0.4826
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,"If a task is important to me, I'll find a way to finish it.",0.0945,0.199,0.548,0.467
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I have a tendency to quit when things get too hard.,0.1163,-0.032,0.742,0.4202
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I stick with problems until they are solved.,0.0461,0.227,0.431,0.365
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I sometimes abandon efforts that seem increasingly difficult.,0.0708,0.007,0.744,0.4286
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I persevere on tasks that initially feel overwhelming.,0.1328,0.134,0.7,0.6065
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,"When faced with obstacles, I tend to dig deeper.",0.1223,0.077,0.639,0.4764
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I often find myself making excuses when something gets difficult.,0.1557,-0.072,0.709,0.3595
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,"I complete what I start, even with setbacks.",0.2496,0.076,0.708,0.6204
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I give up easily when faced with persistent challenges.,0.1052,-0.065,0.831,0.4671
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,My persistence is strong even when progress seems slow.,0.1101,0.283,0.53,0.5511
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I don't like to see things through if they are too difficult.,0.0755,-0.04,0.681,0.3068
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,It takes a lot for me to see a difficult task through to the end.,0.1702,-0.049,0.81,0.526
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I find it easy to pick up a task again after hitting a roadblock.,0.1197,0.082,0.674,0.5387
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I can become discouraged and stop trying if faced with too many setbacks.,0.1516,-0.124,0.813,0.4946
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I don't let difficulties stop me from completing what I've started.,0.2042,-0.082,0.842,0.5521
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I tend to lose interest in tasks that encounter obstacles along the way.,0.0577,0.107,0.726,0.4673
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,I have a hard time finishing things when I face repeated difficulties.,0.182,-0.093,0.889,0.5627
deepseek × Re-Ranked RAG,deepseek,Re-Ranked RAG,Perseverance of Effort,"Starting something is easy for me, but finishing is tough.",0.1914,-0.022,0.681,0.5232
