,Scale,Item_Text,Condition,disc_score,cosine_sim
24,Perseverance of Effort,"When I encounter a problem, I try to find a way around it and continue moving forward.",llama × No-RAG,0.1499,0.539
25,Perseverance of Effort,I ultimately see tasks through to their completion.,gpt × RAG,0.1498,0.4505
26,Perseverance of Effort,I maintain my effort even in the face of adversity.,gpt × RAG,0.1441,0.4899
27,Perseverance of Effort,"If something does not come easily, I give up.",deepseek × No-RAG,0.1393,0.6286
28,Perseverance of Effort,I usually start strong but lose momentum as tasks become more difficult.,llama × No-RAG,0.1366,0.6212
29,Perseverance of Effort,Overcoming obstacles is what drives me to continue striving for excellence.,llama × No-RAG,0.1349,0.4805
30,Perseverance of Effort,I reconcile my efforts even when progress is slow.,gpt × RAG,0.1329,0.5284
31,Perseverance of Effort,"I try my best on every task, even if it fails.",deepseek × No-RAG,0.1298,0.588
32,Perseverance of Effort,I remain persistent even when results are disappointing.,gpt × RAG,0.1285,0.5561
33,Perseverance of Effort,"I consistently put in effort, regardless of the outcome.",gpt × RAG,0.1281,0.5559
34,Perseverance of Effort,I am determined to overcome hurdles in my work.,gpt × RAG,0.128,0.4566
35,Perseverance of Effort,I often feel like giving up when the going gets tough.,gpt × RAG,0.1254,0.4929
36,Perseverance of Effort,I am able to maintain effort until the job is finished.,deepseek × No-RAG,0.1235,0.5912
37,Perseverance of Effort,I let setbacks dictate my level of effort.,gpt × RAG,0.1234,0.4614
38,Perseverance of Effort,I let difficulties distract me from finishing what I began.,deepseek × No-RAG,0.1213,0.4923
39,Perseverance of Effort,"When something is begun, I complete it, no matter what.",deepseek × No-RAG,0.1212,0.4313
40,Consistency of Interest,I resist the urge to frequently switch my primary focus.,deepseek × No-RAG,0.3089,0.5038
41,Consistency of Interest,"When I am focused on a main aim, I rarely let my attention wander.",deepseek × No-RAG,0.2969,0.6121
42,Consistency of Interest,I am intentional about developing a singular ambition.,gpt × RAG,0.2796,0.6114
43,Consistency of Interest,I tend not to change my main interest for a different one.,deepseek × No-RAG,0.2691,0.4784
44,Consistency of Interest,I am single-minded in my professional aspirations.,deepseek × No-RAG,0.2676,0.5612
45,Consistency of Interest,Constantly changing my focus helps keep my mind sharp.,llama × No-RAG,0.2443,0.5092
46,Consistency of Interest,My focus remains unwavering on my primary objectives.,deepseek × No-RAG,0.2407,0.4176
47,Consistency of Interest,Exploring various interests is more fun than focusing on one.,llama × No-RAG,0.2379,0.3856
48,Consistency of Interest,Devoting myself to a single cause is crucial for achieving success.,llama × No-RAG,0.2347,0.4329
49,Consistency of Interest,My primary interest usually absorbs my thoughts first.,deepseek × No-RAG,0.2323,0.4112
50,Consistency of Interest,My core interests rarely lose my attention.,deepseek × No-RAG,0.2284,0.5959
51,Consistency of Interest,Long-term dedication to a single pursuit can be suffocating.,llama × No-RAG,0.2266,0.4288
52,Consistency of Interest,Focusing on one task for an extended period bores me.,llama × No-RAG,0.2217,0.4617
53,Consistency of Interest,I often find myself fully committed to a single goal.,llama × No-RAG,0.2185,0.5488
54,Consistency of Interest,I do not often entertain shifting my fundamental ambitions.,deepseek × No-RAG,0.2163,0.3969
55,Consistency of Interest,I'm inclined to thoroughly explore one subject rather than skimming many.,llama × No-RAG,0.2105,0.3483
56,Consistency of Interest,I often lose focus when new projects arise.,gpt × RAG,0.2075,0.4436
57,Consistency of Interest,My primary drive rarely gets tangled with other passing fascinations.,deepseek × No-RAG,0.2074,0.5162
58,Consistency of Interest,My main ambition stays the consistent focus of my energy.,deepseek × No-RAG,0.2046,0.4276
59,Consistency of Interest,New ideas rarely distract me from my current project.,llama × No-RAG,0.1984,0.4239
60,Consistency of Interest,I maintain a steady concentration on my fundamental ambitions.,deepseek × No-RAG,0.1944,0.5665
61,Consistency of Interest,Pursuing one major goal at a time is my preferred approach.,llama × No-RAG,0.1918,0.4829
62,Consistency of Interest,"When working on a project, I try to avoid distractions and stay focused.",llama × No-RAG,0.1917,0.4531
63,Consistency of Interest,I often feel the urge to shift to new projects.,gpt × RAG,0.1913,0.5802
64,Consistency of Interest,"A single, long-term objective drives most of my decisions.",llama × No-RAG,0.1904,0.5896
65,Consistency of Interest,I avoid letting new ideas derail my primary goals.,deepseek × No-RAG,0.1885,0.6144
66,Consistency of Interest,I often feel like I can’t settle on one pursuit.,gpt × RAG,0.1882,0.5783
67,Consistency of Interest,I prioritize deepening my expertise in one area.,gpt × RAG,0.1867,0.5601
68,Consistency of Interest,I am not easily sidetracked from my main objective.,deepseek × No-RAG,0.1811,0.5476
69,Consistency of Interest,A multitude of projects competing for my attention can be overwhelming.,llama × No-RAG,0.1776,0.4553
70,Consistency of Interest,"Once I choose a direction, I rarely change it.",gpt × RAG,0.1767,0.494
71,Consistency of Interest,My energy is usually directed towards my central interests.,deepseek × No-RAG,0.1697,0.4613
72,Consistency of Interest,The idea of dedicating years to one pursuit seems appealing to me.,llama × No-RAG,0.1689,0.419
73,Consistency of Interest,It is rare for me to suddenly become uninterested in something I was passionate about.,deepseek × No-RAG,0.1672,0.4916
74,Consistency of Interest,I am easily swayed by the allure of new ideas.,gpt × RAG,0.1661,0.4701
75,Consistency of Interest,I commonly feel the pull towards different passions.,gpt × RAG,0.1644,0.3048
76,Consistency of Interest,I prefer to delve deeply rather than pursue many things lightly.,deepseek × No-RAG,0.1635,0.5204
77,Consistency of Interest,I find myself consistently returning to the same types of interests.,deepseek × No-RAG,0.1538,0.391
78,Consistency of Interest,My interests evolve rapidly as I learn more about the world.,llama × No-RAG,0.1487,0.509
79,Consistency of Interest,"My interests are deep, not fleeting.",deepseek × No-RAG,0.1461,0.5783
80,Consistency of Interest,Shifting priorities is not a problem for me.,llama × No-RAG,0.1408,0.4176
81,Consistency of Interest,I often feel drawn away from my current endeavors.,gpt × RAG,0.1366,0.4586
82,Consistency of Interest,I derive satisfaction from pursuing one interest deeply.,gpt × RAG,0.135,0.4622
83,Consistency of Interest,I struggle to ignore new ideas while working.,gpt × RAG,0.1338,0.4925
84,Consistency of Interest,I am steadfast in the direction of my primary drive.,deepseek × No-RAG,0.1327,0.5246
85,Consistency of Interest,I'm not tempted by new opportunities when I'm mid-project.,llama × No-RAG,0.1323,0.4887
86,Consistency of Interest,I am reluctant to shift my main efforts from a successful path.,deepseek × No-RAG,0.131,0.4933
87,Consistency of Interest,It's challenging for me to settle on just one thing I want to achieve.,llama × No-RAG,0.127,0.3816
88,Consistency of Interest,My long-term ambitions are always clear to me.,deepseek × No-RAG,0.125,0.4069
89,Consistency of Interest,I frequently chase after new interests.,gpt × RAG,0.1243,0.4583
