Scale,Model,Condition,Item_Text
Consistency of Interest,deepseek,No-RAG,My most cherished ambitions are the ones I pursue first.
Consistency of Interest,deepseek,No-RAG,I am determined to maintain my focus on my main professional goals.
Consistency of Interest,deepseek,No-RAG,My primary drive rarely gets tangled with other passing fascinations.
Perseverance of Effort,deepseek,No-RAG,"I finish tasks, even difficult ones, well."
Perseverance of Effort,deepseek,No-RAG,I do not quit my tasks until they are done.
Perseverance of Effort,deepseek,No-RAG,I am committed to the completion of my work.
Perseverance of Effort,deepseek,No-RAG,"When something is begun, I complete it, no matter what."
Perseverance of Effort,deepseek,No-RAG,"I try my best on every task, even if it fails."
Perseverance of Effort,deepseek,No-RAG,I have the determination to push through setbacks.
Perseverance of Effort,deepseek,No-RAG,I do not easily give up on the things I start.
Perseverance of Effort,deepseek,No-RAG,"I can keep going, even when things are tough."
Perseverance of Effort,deepseek,No-RAG,I dislike unfinished tasks.
Perseverance of Effort,deepseek,No-RAG,I let difficulties distract me from finishing what I began.
Perseverance of Effort,deepseek,No-RAG,"When a task requires effort, I see it through."
Perseverance of Effort,deepseek,No-RAG,I persist in my tasks until they are finished.
Perseverance of Effort,deepseek,No-RAG,I find it hard to complete a started job.
Perseverance of Effort,deepseek,No-RAG,My persistence in tasks is strong.
Perseverance of Effort,deepseek,No-RAG,I often drop things that I am doing.
Perseverance of Effort,deepseek,No-RAG,I can be stubborn about finishing my tasks.
Perseverance of Effort,deepseek,No-RAG,"When I start something, I try to see it to the end."
Perseverance of Effort,deepseek,No-RAG,I complete what I set out to do.
Perseverance of Effort,deepseek,No-RAG,I stop myself from quitting tasks mid-way.
Perseverance of Effort,deepseek,No-RAG,I have difficulty with persistence.
Perseverance of Effort,deepseek,No-RAG,I easily get discouraged and stop trying.
Perseverance of Effort,deepseek,No-RAG,I abandon my efforts when faced with difficulty.
Perseverance of Effort,deepseek,No-RAG,I find it very easy to quit an uninteresting task.
Perseverance of Effort,deepseek,No-RAG,"When tasks are challenging, I quickly stop trying."
Perseverance of Effort,deepseek,No-RAG,"I dislike difficult tasks, so I avoid them often."
Perseverance of Effort,deepseek,No-RAG,"If something does not come easily, I give up."
Perseverance of Effort,deepseek,No-RAG,I stop when the going gets rough.
Perseverance of Effort,deepseek,No-RAG,I am easily dissuaded from completing my tasks.
Perseverance of Effort,deepseek,No-RAG,"I am prone to start many things, but complete few."
Perseverance of Effort,deepseek,No-RAG,I frequently change my mind about tasks I undertake.
Perseverance of Effort,deepseek,No-RAG,"I can persevere, even in challenging projects."
Perseverance of Effort,deepseek,No-RAG,I have trouble seeing things through to the end.
Perseverance of Effort,deepseek,No-RAG,I find it easy to get started but hard to finish.
Perseverance of Effort,deepseek,No-RAG,I give up easily on demanding tasks.
Perseverance of Effort,deepseek,No-RAG,I can power through difficult tasks.
Perseverance of Effort,deepseek,No-RAG,I am able to maintain effort until the job is finished.
Perseverance of Effort,deepseek,No-RAG,I do not feel strong enough to complete difficult tasks.
Perseverance of Effort,deepseek,No-RAG,I avoid starting tasks I know will be difficult.
Perseverance of Effort,deepseek,No-RAG,I can keep going even after several failures.
Perseverance of Effort,deepseek,No-RAG,I tend to lose focus on tasks that are too difficult.
