Scale,Model,Condition,Item_Text
Perseverance of Effort,llama,No-RAG,I have trouble maintaining my enthusiasm and energy for extended periods.
Perseverance of Effort,llama,No-RAG,"I will keep working at a task until I get it right, no matter how long it takes."
Perseverance of Effort,llama,No-RAG,Frustration can cause me to lose my cool and abandon a task altogether.
Perseverance of Effort,llama,No-RAG,I am more likely to give up on a task if I do not see immediate results.
Perseverance of Effort,llama,No-RAG,Overcoming obstacles is what drives me to continue striving for excellence.
Perseverance of Effort,llama,No-RAG,I find it hard to stay motivated when my progress is slow.
Perseverance of Effort,llama,No-RAG,Setbacks and failures make me question my ability to succeed.
Perseverance of Effort,llama,No-RAG,"When a task becomes too difficult, I look for ways to simplify it or ask for help."
Perseverance of Effort,llama,No-RAG,I am passionate about my goals and will persevere through any challenges that come my way.
Perseverance of Effort,llama,No-RAG,I can be deterred by fear of failure or making mistakes.
Perseverance of Effort,llama,No-RAG,Achieving my goals is more important to me than avoiding discomfort or hard work.
Perseverance of Effort,llama,No-RAG,I often feel like quitting when my efforts are not recognized or appreciated by others.
Perseverance of Effort,llama,No-RAG,"When things get tough, I remind myself why my goals are important and keep pushing forward."
Perseverance of Effort,llama,No-RAG,Difficulty and adversity make me more determined to prove myself and succeed.
